"datetime","module","tags","metrics"
"2026-08-07 00:00:00+02","zbx_cpu","{}","{""idle.pct"": 85.8, ""switches"": 7763.47, ""user.pct"": 7.76, ""util.pct"": 14.2, ""interrupts"": 14645.75, ""iowait.pct"": 2.37, ""system.pct"": 3.06}"
"2026-08-07 00:00:00+02","zbx_filesystem","{""path"": ""/var""}","{""used.pct"": 25, ""used.bytes"": 1977380864, ""total.bytes"": 8350298112, ""inodes_used.pct"": 0.6}"
"2026-08-07 00:00:00+02","zbx_filesystem","{""path"": ""/""}","{""used.pct"": 28.8, ""used.bytes"": 552185856, ""total.bytes"": 2040373248, ""inodes_used.pct"": 1.1}"
"2026-08-07 00:00:00+02","zbx_filesystem","{""path"": ""/boot""}","{""used.pct"": 53.4, ""used.bytes"": 507863040, ""total.bytes"": 1020702720, ""inodes_used.pct"": 1}"
"2026-08-07 00:00:00+02","zbx_filesystem","{""path"": ""/home""}","{""used.pct"": 0, ""used.bytes"": 352256, ""total.bytes"": 4143677440, ""inodes_used.pct"": 0}"
"2026-08-07 00:00:00+02","zbx_filesystem","{""path"": ""/opt""}","{""used.pct"": 12.4, ""used.bytes"": 237080576, ""total.bytes"": 2040373248, ""inodes_used.pct"": 0.1}"
"2026-08-07 00:00:00+02","zbx_filesystem","{""path"": ""/pg_data/pAMK""}","{""used.pct"": 43.3, ""used.bytes"": 1520738840576, ""total.bytes"": 3697936982016, ""inodes_used.pct"": 0}"
"2026-08-07 00:00:00+02","zbx_filesystem","{""path"": ""/usr""}","{""used.pct"": 58.4, ""used.bytes"": 2283241472, ""total.bytes"": 4143677440, ""inodes_used.pct"": 21.1}"
"2026-08-07 00:00:00+02","zbx_filesystem","{""path"": ""/tmp""}","{""used.pct"": 0, ""used.bytes"": 258048, ""total.bytes"": 2040373248, ""inodes_used.pct"": 0}"
"2026-08-07 00:00:00+02","zbx_memory","{}","{""util.pct"": 33.4, ""avail.pct"": 66.6, ""avail.bytes"": 39246557184, ""total.bytes"": 58697945088, ""max_committed.pct"": 38.31, ""commit_limit.kbytes"": 51333024, ""committed_as.kbytes"": 19666348}"
"2026-08-07 00:00:00+02","zbx_system","{}","{""users"": 0, ""uptime"": 11317983, ""load_avg_1"": 0.77, ""load_avg_5"": 0.29, ""proc_count"": 666, ""load_avg_15"": 0.25, ""proc_running"": 1, ""swap_free.pct"": 63.62, ""swap_used.pct"": 36.38, ""swap_free.bytes"": 1699704832, ""swap_total.bytes"": 2671763456}"
"2026-08-07 00:01:00+02","zbx_cpu","{}","{""idle.pct"": 86.15, ""switches"": 7482, ""user.pct"": 7.55, ""util.pct"": 13.85, ""interrupts"": 14013.74, ""iowait.pct"": 2.25, ""system.pct"": 3.19}"
"2026-08-07 00:01:00+02","zbx_filesystem","{""path"": ""/""}","{""used.pct"": 28.8, ""used.bytes"": 552185856, ""total.bytes"": 2040373248, ""inodes_used.pct"": 1.1}"
"2026-08-07 00:01:00+02","zbx_filesystem","{""path"": ""/home""}","{""used.pct"": 0, ""used.bytes"": 352256, ""total.bytes"": 4143677440, ""inodes_used.pct"": 0}"
"2026-08-07 00:01:00+02","zbx_filesystem","{""path"": ""/opt""}","{""used.pct"": 12.4, ""used.bytes"": 237080576, ""total.bytes"": 2040373248, ""inodes_used.pct"": 0.1}"
"2026-08-07 00:01:00+02","zbx_filesystem","{""path"": ""/pg_data/pAMK""}","{""used.pct"": 43.3, ""used.bytes"": 1520811827200, ""total.bytes"": 3697936982016, ""inodes_used.pct"": 0}"
"2026-08-07 00:01:00+02","zbx_filesystem","{""path"": ""/tmp""}","{""used.pct"": 0, ""used.bytes"": 258048, ""total.bytes"": 2040373248, ""inodes_used.pct"": 0}"
"2026-08-07 00:01:00+02","zbx_filesystem","{""path"": ""/var""}","{""used.pct"": 25, ""used.bytes"": 1978511360, ""total.bytes"": 8350298112, ""inodes_used.pct"": 0.6}"
"2026-08-07 00:01:00+02","zbx_filesystem","{""path"": ""/usr""}","{""used.pct"": 58.4, ""used.bytes"": 2283241472, ""total.bytes"": 4143677440, ""inodes_used.pct"": 21.1}"
"2026-08-07 00:01:00+02","zbx_filesystem","{""path"": ""/boot""}","{""used.pct"": 53.4, ""used.bytes"": 507863040, ""total.bytes"": 1020702720, ""inodes_used.pct"": 1}"
"2026-08-07 00:01:00+02","zbx_memory","{}","{""util.pct"": 33.8, ""avail.pct"": 66.2, ""avail.bytes"": 38926012416, ""total.bytes"": 58697945088, ""max_committed.pct"": 38.49, ""commit_limit.kbytes"": 51333024, ""committed_as.kbytes"": 19755928}"
"2026-08-07 00:01:00+02","zbx_system","{}","{""users"": 0, ""uptime"": 11318042, ""load_avg_1"": 1.33, ""load_avg_5"": 0.54, ""proc_count"": 670, ""load_avg_15"": 0.34, ""proc_running"": 4, ""swap_free.pct"": 63.62, ""swap_used.pct"": 36.38, ""swap_free.bytes"": 1699704832, ""swap_total.bytes"": 2671763456}"
"2026-08-07 00:02:00+02","zbx_cpu","{}","{""idle.pct"": 92.88, ""switches"": 4526.2, ""user.pct"": 4.24, ""util.pct"": 7.12, ""interrupts"": 7837.29, ""iowait.pct"": 0.82, ""system.pct"": 1.52}"
"2026-08-07 00:02:00+02","zbx_filesystem","{""path"": ""/home""}","{""used.pct"": 0, ""used.bytes"": 352256, ""total.bytes"": 4143677440, ""inodes_used.pct"": 0}"
"2026-08-07 00:02:00+02","zbx_filesystem","{""path"": ""/pg_data/pAMK""}","{""used.pct"": 43.3, ""used.bytes"": 1520876904448, ""total.bytes"": 3697936982016, ""inodes_used.pct"": 0}"
